R4,R3,R2b,R2
ImmunizationEvaluation.immunization-event,,,
ImmunizationEvaluation.patient,,,
ImmunizationEvaluation.status,,,
ImmunizationEvaluation.target-disease,,,
ImmunizationRecommendation,ImmunizationRecommendation,ImmunizationRecommendation,ImmunizationRecommendation
ImmunizationRecommendation.date,ImmunizationRecommendation.date,ImmunizationRecommendation.date,ImmunizationRecommendation.date
,ImmunizationRecommendation.dose-number,ImmunizationRecommendation.dose-number,ImmunizationRecommendation.dose-number
,ImmunizationRecommendation.dose-sequence,ImmunizationRecommendation.dose-sequence,ImmunizationRecommendation.dose-sequence
ImmunizationRecommendation.identifier,ImmunizationRecommendation.identifier,ImmunizationRecommendation.identifier,ImmunizationRecommendation.identifier
ImmunizationRecommendation.information,ImmunizationRecommendation.information,ImmunizationRecommendation.information,ImmunizationRecommendation.information
ImmunizationRecommendation.patient,ImmunizationRecommendation.patient,ImmunizationRecommendation.patient,ImmunizationRecommendation.patient
ImmunizationRecommendation.status,ImmunizationRecommendation.status,ImmunizationRecommendation.status,ImmunizationRecommendation.status
ImmunizationRecommendation.support,ImmunizationRecommendation.support,ImmunizationRecommendation.support,ImmunizationRecommendation.support
ImmunizationRecommendation.target-disease,ImmunizationRecommendation.target-disease,,
ImmunizationRecommendation.vaccine-type,ImmunizationRecommendation.vaccine-type,ImmunizationRecommendation.vaccine-type,ImmunizationRecommendation.vaccine-type
ImplementationGuide,ImplementationGuide,ImplementationGuide,ImplementationGuide
ImplementationGuide.context,,ImplementationGuide.context,ImplementationGuide.context
ImplementationGuide.context-quantity,,,
ImplementationGuide.context-type,,,
ImplementationGuide.context-type-quantity,,,
ImplementationGuide.context-type-value,,,
ImplementationGuide.date,ImplementationGuide.date,ImplementationGuide.date,ImplementationGuide.date
ImplementationGuide.depends-on,ImplementationGuide.dependency,ImplementationGuide.dependency,ImplementationGuide.dependency
ImplementationGuide.description,ImplementationGuide.description,ImplementationGuide.description,ImplementationGuide.description
ImplementationGuide.experimental,ImplementationGuide.experimental,ImplementationGuide.experimental,ImplementationGuide.experimental
ImplementationGuide.global,,,
ImplementationGuide.jurisdiction,ImplementationGuide.jurisdiction,,
ImplementationGuide.name,ImplementationGuide.name,ImplementationGuide.name,ImplementationGuide.name
ImplementationGuide.publisher,ImplementationGuide.publisher,ImplementationGuide.publisher,ImplementationGuide.publisher
ImplementationGuide.resource,ImplementationGuide.resource,ImplementationGuide.resource,
ImplementationGuide.status,ImplementationGuide.status,ImplementationGuide.status,ImplementationGuide.status
ImplementationGuide.title,,,
ImplementationGuide.url,ImplementationGuide.url,ImplementationGuide.url,ImplementationGuide.url
ImplementationGuide.version,ImplementationGuide.version,ImplementationGuide.version,ImplementationGuide.version
InsurancePlan,,,
InsurancePlan.address,,,
InsurancePlan.address-city,,,
InsurancePlan.address-country,,,
InsurancePlan.address-postalcode,,,
InsurancePlan.address-state,,,
InsurancePlan.address-use,,,
InsurancePlan.administered-by,,,
InsurancePlan.endpoint,,,
InsurancePlan.identifier,,,
InsurancePlan.name,,,
InsurancePlan.owned-by,,,
InsurancePlan.phonetic,,,
InsurancePlan.status,,,
InsurancePlan.type,,,
Invoice,,,
Invoice.account,,,
Invoice.date,,,
Invoice.identifier,,,
Invoice.issuer,,,
Invoice.participant,,,
Invoice.participant-role,,,
Invoice.patient,,,
Invoice.recipient,,,
Invoice.status,,,
Invoice.subject,,,
Invoice.totalgross,,,
Invoice.totalnet,,,
Invoice.type,,,
Library,Library,Library,
Library.composed-of,Library.composed-of,,
Library.content-type,,,
Library.context,,,
Library.context-quantity,,,
Library.context-type,,,
Library.context-type-quantity,,,
Library.context-type-value,,,
Library.date,Library.date,,
Library.depends-on,Library.depends-on,,
Library.derived-from,Library.derived-from,,
Library.description,Library.description,Library.description,
Library.effective,Library.effective,,
Library.identifier,Library.identifier,Library.identifier,
Library.jurisdiction,Library.jurisdiction,,
Library.name,Library.name,,
Library.predecessor,Library.predecessor,,
Library.publisher,Library.publisher,,
Library.status,Library.status,Library.status,
Library.successor,Library.successor,,
Library.title,Library.title,Library.title,
Library.topic,Library.topic,Library.topic,
Library.type,,,
Library.url,Library.url,,
Library.version,Library.version,Library.version,
Linkage,Linkage,Linkage,
Linkage.author,Linkage.author,Linkage.author,
Linkage.item,Linkage.item,Linkage.item,
Linkage.source,Linkage.source,Linkage.source,
List,List,List,List
List.code,List.code,List.code,List.code
List.date,List.date,List.date,List.date
List.empty-reason,List.empty-reason,List.empty-reason,List.empty-reason
List.encounter,List.encounter,List.encounter,List.encounter
List.identifier,List.identifier,List.identifier,
List.item,List.item,List.item,List.item
List.notes,List.notes,List.notes,List.notes
List.patient,List.patient,List.patient,List.patient
List.source,List.source,List.source,List.source
List.status,List.status,List.status,List.status
List.subject,List.subject,List.subject,List.subject
List.title,List.title,List.title,List.title
Location,Location,Location,Location
Location.address,Location.address,Location.address,Location.address
Location.address-city,Location.address-city,Location.address-city,Location.address-city
Location.address-country,Location.address-country,Location.address-country,Location.address-country
Location.address-postalcode,Location.address-postalcode,Location.address-postalcode,Location.address-postalcode
Location.address-state,Location.address-state,Location.address-state,Location.address-state
Location.address-use,Location.address-use,Location.address-use,Location.address-use
Location.endpoint,Location.endpoint,,
Location.identifier,Location.identifier,Location.identifier,Location.identifier
Location.name,Location.name,Location.name,Location.name
Location.near,Location.near,Location.near,Location.near
,Location.near-distance,Location.near-distance,Location.near-distance
Location.operational-status,Location.operational-status,,
Location.organization,Location.organization,Location.organization,Location.organization
Location.partof,Location.partof,Location.partof,Location.partof
Location.status,Location.status,Location.status,Location.status
Location.type,Location.type,Location.type,Location.type
Measure,Measure,Measure,
Measure.composed-of,Measure.composed-of,,
Measure.context,,,
Measure.context-quantity,,,
Measure.context-type,,,
Measure.context-type-quantity,,,
Measure.context-type-value,,,
Measure.date,Measure.date,,
Measure.depends-on,Measure.depends-on,,
Measure.derived-from,Measure.derived-from,,
Measure.description,Measure.description,Measure.description,
Measure.effective,Measure.effective,,
Measure.identifier,Measure.identifier,Measure.identifier,
Measure.jurisdiction,Measure.jurisdiction,,
Measure.name,Measure.name,,
Measure.predecessor,Measure.predecessor,,
Measure.publisher,Measure.publisher,,
Measure.status,Measure.status,Measure.status,
Measure.successor,Measure.successor,,
Measure.title,Measure.title,Measure.title,
Measure.topic,Measure.topic,Measure.topic,
Measure.url,Measure.url,,
Measure.version,Measure.version,Measure.version,
MeasureReport,MeasureReport,MeasureReport,
MeasureReport.date,,,
MeasureReport.evaluated-resource,,,
MeasureReport.identifier,MeasureReport.identifier,,
MeasureReport.measure,,,
MeasureReport.patient,MeasureReport.patient,MeasureReport.patient,
MeasureReport.period,,,
MeasureReport.reporter,,,
MeasureReport.status,MeasureReport.status,,
MeasureReport.subject,,,
Media,Media,Media,Media
Media.based-on,Media.based-on,,
,Media.context,,
Media.created,Media.created,Media.created,Media.created
,Media.date,,
Media.device,Media.device,,
Media.encounter,,,
Media.identifier,Media.identifier,Media.identifier,Media.identifier
Media.modality,,,
Media.operator,Media.operator,Media.operator,Media.operator
Media.patient,Media.patient,Media.patient,Media.patient
Media.site,Media.site,,
Media.status,,,
Media.subject,Media.subject,Media.subject,Media.subject
,Media.subtype,Media.subtype,Media.subtype
Media.type,Media.type,Media.type,Media.type
Media.view,Media.view,Media.view,Media.view
Medication,Medication,Medication,Medication
Medication.code,Medication.code,Medication.code,Medication.code
,Medication.container,Medication.container,Medication.container
Medication.expiration-date,,,
,,,Medication.content
Medication.form,Medication.form,Medication.form,Medication.form
Medication.identifier,,,
Medication.ingredient,Medication.ingredient,Medication.ingredient,Medication.ingredient
Medication.ingredient-code,Medication.ingredient-code,Medication.ingredient-code,
Medication.lot-number,,,
Medication.manufacturer,Medication.manufacturer,Medication.manufacturer,Medication.manufacturer
Medication.status,Medication.status,,
,Medication.over-the-counter,,
,Medication.package-item,Medication.package-item,
,Medication.package-item-code,Medication.package-item-code,
MedicationAdministration,MedicationAdministration,MedicationAdministration,MedicationAdministration
MedicationAdministration.code,MedicationAdministration.code,MedicationAdministration.code,MedicationAdministration.code
MedicationAdministration.context,MedicationAdministration.context,,
MedicationAdministration.device,MedicationAdministration.device,MedicationAdministration.device,MedicationAdministration.device
MedicationAdministration.effective-time,MedicationAdministration.effective-time,MedicationAdministration.effectivetime,MedicationAdministration.effectivetime
,,MedicationAdministration.encounter,MedicationAdministration.encounter
MedicationAdministration.identifier,MedicationAdministration.identifier,MedicationAdministration.identifier,MedicationAdministration.identifier
MedicationAdministration.medication,MedicationAdministration.medication,MedicationAdministration.medication,MedicationAdministration.medication
,MedicationAdministration.not-given,,MedicationAdministration.notgiven
MedicationAdministration.patient,MedicationAdministration.patient,MedicationAdministration.patient,MedicationAdministration.patient
MedicationAdministration.performer,MedicationAdministration.performer,MedicationAdministration.practitioner,MedicationAdministration.practitioner
,MedicationAdministration.prescription,MedicationAdministration.prescription,MedicationAdministration.prescription
MedicationAdministration.reason-given,MedicationAdministration.reason-given,,
MedicationAdministration.reason-not-given,MedicationAdministration.reason-not-given,,
MedicationAdministration.request,,,
MedicationAdministration.status,MedicationAdministration.status,MedicationAdministration.status,MedicationAdministration.status
MedicationAdministration.subject,MedicationAdministration.subject,,
,,MedicationAdministration.wasnotgiven,
MedicationDispense,MedicationDispense,MedicationDispense,MedicationDispense
MedicationDispense.code,MedicationDispense.code,MedicationDispense.code,MedicationDispense.code
MedicationDispense.context,MedicationDispense.context,,
MedicationDispense.destination,MedicationDispense.destination,MedicationDispense.destination,MedicationDispense.destination
,,MedicationDispense.dispenser,MedicationDispense.dispenser
MedicationDispense.identifier,MedicationDispense.identifier,MedicationDispense.identifier,MedicationDispense.identifier
MedicationDispense.medication,MedicationDispense.medication,MedicationDispense.medication,MedicationDispense.medication
MedicationDispense.patient,MedicationDispense.patient,MedicationDispense.patient,MedicationDispense.patient
MedicationDispense.performer,MedicationDispense.performer,,
MedicationDispense.prescription,MedicationDispense.prescription,MedicationDispense.prescription,MedicationDispense.prescription
MedicationDispense.receiver,MedicationDispense.receiver,MedicationDispense.receiver,MedicationDispense.receiver
MedicationDispense.responsibleparty,MedicationDispense.responsibleparty,MedicationDispense.responsibleparty,MedicationDispense.responsibleparty
MedicationDispense.status,MedicationDispense.status,MedicationDispense.status,MedicationDispense.status
MedicationDispense.subject,MedicationDispense.subject,,
MedicationDispense.type,MedicationDispense.type,MedicationDispense.type,MedicationDispense.type
MedicationDispense.whenhandedover,MedicationDispense.whenhandedover,MedicationDispense.whenhandedover,MedicationDispense.whenhandedover
MedicationDispense.whenprepared,MedicationDispense.whenprepared,MedicationDispense.whenprepared,MedicationDispense.whenprepared
MedicationKnowledge,,,
MedicationKnowledge.classification,,,
MedicationKnowledge.classification-type,,,
MedicationKnowledge.code,,,
MedicationKnowledge.doseform,,,
MedicationKnowledge.ingredient,,,
MedicationKnowledge.ingredient-code,,,
MedicationKnowledge.manufacturer,,,
MedicationKnowledge.monitoring-program-name,,,
MedicationKnowledge.monitoring-program-type,,,
MedicationKnowledge.monograph,,,
MedicationKnowledge.monograph-type,,,
MedicationKnowledge.source-cost,,,
MedicationKnowledge.status,,,
MedicationRequest,MedicationRequest,MedicationOrder,MedicationOrder
MedicationRequest.authoredon,MedicationRequest.authoredon,,
MedicationRequest.category,MedicationRequest.category,,
MedicationRequest.code,MedicationRequest.code,MedicationOrder.code,MedicationOrder.code
,MedicationRequest.context,,
MedicationRequest.date,MedicationRequest.date,MedicationOrder.datewritten,MedicationOrder.datewritten
MedicationRequest.encounter,,MedicationOrder.encounter,MedicationOrder.encounter
MedicationRequest.identifier,MedicationRequest.identifier,MedicationOrder.identifier,MedicationOrder.identifier
MedicationRequest.intended-dispenser,MedicationRequest.intended-dispenser,,
MedicationRequest.intended-performer,,,
MedicationRequest.intended-performertype,,,
MedicationRequest.intent,MedicationRequest.intent,,
MedicationRequest.medication,MedicationRequest.medication,MedicationOrder.medication,MedicationOrder.medication
MedicationRequest.patient,MedicationRequest.patient,MedicationOrder.patient,MedicationOrder.patient
MedicationRequest.priority,MedicationRequest.priority,,
MedicationRequest.requester,MedicationRequest.requester,MedicationOrder.prescriber,MedicationOrder.prescriber
MedicationRequest.status,MedicationRequest.status,MedicationOrder.status,MedicationOrder.status
MedicationRequest.subject,MedicationRequest.subject,,
MedicationStatement,MedicationStatement,MedicationStatement,MedicationStatement
MedicationStatement.category,MedicationStatement.category,,
MedicationStatement.code,MedicationStatement.code,MedicationStatement.code,MedicationStatement.code
MedicationStatement.context,MedicationStatement.context,,
MedicationStatement.effective,MedicationStatement.effective,MedicationStatement.effective,MedicationStatement.effectivedate
MedicationStatement.identifier,MedicationStatement.identifier,MedicationStatement.identifier,MedicationStatement.identifier
MedicationStatement.medication,MedicationStatement.medication,MedicationStatement.medication,MedicationStatement.medication
MedicationStatement.part-of,MedicationStatement.part-of,,
MedicationStatement.patient,MedicationStatement.patient,MedicationStatement.patient,MedicationStatement.patient
MedicationStatement.source,MedicationStatement.source,MedicationStatement.source,MedicationStatement.source
MedicationStatement.status,MedicationStatement.status,MedicationStatement.status,MedicationStatement.status
MedicationStatement.subject,MedicationStatement.subject,,
MedicinalProduct,,,
MedicinalProduct.identifier,,,
MedicinalProduct.name,,,
MedicinalProduct.name-language,,,
MedicinalProductAuthorization,,,
MedicinalProductAuthorization.country,,,
MedicinalProductAuthorization.holder,,,
MedicinalProductAuthorization.identifier,,,
MedicinalProductAuthorization.status,,,
MedicinalProductAuthorization.subject,,,
MedicinalProductContraindication,,,
MedicinalProductContraindication.subject,,,
MedicinalProductIndication,,,
MedicinalProductIndication.subject,,,
MedicinalProductInteraction,,,
MedicinalProductInteraction.subject,,,
MedicinalProductPackaged,,,
MedicinalProductPackaged.identifier,,,
MedicinalProductPackaged.subject,,,
MedicinalProductPharmaceutical,,,
MedicinalProductPharmaceutical.identifier,,,
MedicinalProductPharmaceutical.route,,,
MedicinalProductPharmaceutical.target-species,,,
MedicinalProductUndesirableEffect,,,
MedicinalProductUndesirableEffect.subject,,,
MessageDefinition,MessageDefinition,,
MessageDefinition.category,MessageDefinition.category,,
MessageDefinition.context,,,
MessageDefinition.context-quantity,,,
MessageDefinition.context-type,,,
MessageDefinition.context-type-quantity,,,
MessageDefinition.context-type-value,,,
MessageDefinition.date,MessageDefinition.date,,
MessageDefinition.description,MessageDefinition.description,,
MessageDefinition.event,MessageDefinition.event,,
MessageDefinition.focus,MessageDefinition.focus,,
MessageDefinition.identifier,MessageDefinition.identifier,,
MessageDefinition.jurisdiction,MessageDefinition.jurisdiction,,
MessageDefinition.name,MessageDefinition.name,,
MessageDefinition.parent,,,
MessageDefinition.publisher,MessageDefinition.publisher,,
MessageDefinition.status,MessageDefinition.status,,
MessageDefinition.title,MessageDefinition.title,,
MessageDefinition.url,MessageDefinition.url,,
MessageDefinition.version,MessageDefinition.version,,
MessageHeader,MessageHeader,MessageHeader,MessageHeader
MessageHeader.author,MessageHeader.author,MessageHeader.author,MessageHeader.author
MessageHeader.code,MessageHeader.code,MessageHeader.code,MessageHeader.code
MessageHeader.focus,MessageHeader.focus,MessageHeader.data,MessageHeader.data
MessageHeader.destination,MessageHeader.destination,MessageHeader.destination,MessageHeader.destination
MessageHeader.destination-uri,MessageHeader.destination-uri,MessageHeader.destination-uri,MessageHeader.destination-uri
MessageHeader.enterer,MessageHeader.enterer,MessageHeader.enterer,MessageHeader.enterer
MessageHeader.event,MessageHeader.event,MessageHeader.event,MessageHeader.event
MessageHeader.receiver,MessageHeader.receiver,MessageHeader.receiver,MessageHeader.receiver
MessageHeader.response-id,MessageHeader.response-id,MessageHeader.response-id,MessageHeader.response-id
MessageHeader.responsible,MessageHeader.responsible,MessageHeader.responsible,MessageHeader.responsible
MessageHeader.sender,MessageHeader.sender,,
MessageHeader.source,MessageHeader.source,MessageHeader.source,MessageHeader.source
MessageHeader.source-uri,MessageHeader.source-uri,MessageHeader.source-uri,MessageHeader.source-uri
MessageHeader.target,MessageHeader.target,MessageHeader.target,MessageHeader.target
,MessageHeader.timestamp,MessageHeader.timestamp,MessageHeader.timestamp
MolecularSequence,,,
MolecularSequence.chromosome,,,
MolecularSequence.chromosome-variant-coordinate,,,
MolecularSequence.chromosome-window-coordinate,,,
MolecularSequence.identifier,,,
MolecularSequence.patient,,,
MolecularSequence.referenceseqid,,,
MolecularSequence.referenceseqid-variant-coordinate,,,
MolecularSequence.referenceseqid-window-coordinate,,,
MolecularSequence.type,,,
MolecularSequence.variant-end,,,
MolecularSequence.variant-start,,,
MolecularSequence.window-end,,,
MolecularSequence.window-start,,,
NamingSystem,NamingSystem,NamingSystem,NamingSystem
NamingSystem.contact,NamingSystem.contact,NamingSystem.contact,NamingSystem.contact
NamingSystem.context,,NamingSystem.context,NamingSystem.context
NamingSystem.context-quantity,,,
NamingSystem.context-type,,,
NamingSystem.context-type-quantity,,,
NamingSystem.context-type-value,,,
NamingSystem.date,NamingSystem.date,NamingSystem.date,NamingSystem.date
NamingSystem.description,NamingSystem.description,,
NamingSystem.id-type,NamingSystem.id-type,NamingSystem.id-type,NamingSystem.id-type
NamingSystem.jurisdiction,NamingSystem.jurisdiction,,
NamingSystem.kind,NamingSystem.kind,NamingSystem.kind,NamingSystem.kind
NamingSystem.name,NamingSystem.name,NamingSystem.name,NamingSystem.name
NamingSystem.period,NamingSystem.period,NamingSystem.period,NamingSystem.period
NamingSystem.publisher,NamingSystem.publisher,NamingSystem.publisher,NamingSystem.publisher
,NamingSystem.replaced-by,NamingSystem.replaced-by,NamingSystem.replaced-by
NamingSystem.responsible,NamingSystem.responsible,NamingSystem.responsible,NamingSystem.responsible
NamingSystem.status,NamingSystem.status,NamingSystem.status,NamingSystem.status
NamingSystem.telecom,NamingSystem.telecom,NamingSystem.telecom,NamingSystem.telecom
NamingSystem.type,NamingSystem.type,NamingSystem.type,NamingSystem.type
NamingSystem.value,NamingSystem.value,NamingSystem.value,NamingSystem.value
NutritionOrder,NutritionOrder,NutritionOrder,NutritionOrder
NutritionOrder.additive,NutritionOrder.additive,NutritionOrder.additive,NutritionOrder.additive
NutritionOrder.datetime,NutritionOrder.datetime,NutritionOrder.datetime,NutritionOrder.datetime
NutritionOrder.encounter,NutritionOrder.encounter,NutritionOrder.encounter,NutritionOrder.encounter
NutritionOrder.formula,NutritionOrder.formula,NutritionOrder.formula,NutritionOrder.formula
NutritionOrder.identifier,NutritionOrder.identifier,NutritionOrder.identifier,NutritionOrder.identifier
NutritionOrder.instantiates-canonical,,,
NutritionOrder.instantiates-uri,,,
NutritionOrder.oraldiet,NutritionOrder.oraldiet,NutritionOrder.oraldiet,NutritionOrder.oraldiet
NutritionOrder.patient,NutritionOrder.patient,NutritionOrder.patient,NutritionOrder.patient
NutritionOrder.provider,NutritionOrder.provider,NutritionOrder.provider,NutritionOrder.provider
NutritionOrder.status,NutritionOrder.status,NutritionOrder.status,NutritionOrder.status
NutritionOrder.supplement,NutritionOrder.supplement,NutritionOrder.supplement,NutritionOrder.supplement
Observation,Observation,Observation,Observation
Observation.based-on,Observation.based-on,,
Observation.category,Observation.category,Observation.category,Observation.category
Observation.code,Observation.code,Observation.code,Observation.code
Observation.code-value-concept,Observation.code-value-concept,Observation.code-value-[x],Observation.code-value-[x]
Observation.code-value-date,Observation.code-value-date,,
Observation.code-value-quantity,Observation.code-value-quantity,,
Observation.code-value-string,Observation.code-value-string,,
Observation.combo-code,Observation.combo-code,,
Observation.combo-code-value-concept,Observation.combo-code-value-concept,,
Observation.combo-code-value-quantity,Observation.combo-code-value-quantity,,
Observation.combo-data-absent-reason,Observation.combo-data-absent-reason,,
Observation.combo-value-concept,Observation.combo-value-concept,,
Observation.combo-value-quantity,Observation.combo-value-quantity,,
Observation.component-code,Observation.component-code,Observation.component-code,Observation.component-code
Observation.component-code-value-concept,Observation.component-code-value-concept,Observation.component-code-value-[x],Observation.component-code-value-[x]
Observation.component-code-value-quantity,Observation.component-code-value-quantity,,
Observation.component-data-absent-reason,Observation.component-data-absent-reason,Observation.component-data-absent-reason,Observation.component-data-absent-reason
Observation.component-value-concept,Observation.component-value-concept,Observation.component-value-concept,Observation.component-value-concept
Observation.component-value-quantity,Observation.component-value-quantity,Observation.component-value-quantity,Observation.component-value-quantity
,,Observation.component-value-string,Observation.component-value-string
,Observation.context,,
Observation.data-absent-reason,Observation.data-absent-reason,Observation.data-absent-reason,Observation.data-absent-reason
Observation.date,Observation.date,Observation.date,Observation.date
Observation.derived-from,,,
Observation.device,Observation.device,Observation.device,Observation.device
Observation.encounter,Observation.encounter,Observation.encounter,Observation.encounter
Observation.focus,,,
Observation.has-member,,,
Observation.identifier,Observation.identifier,Observation.identifier,Observation.identifier
Observation.method,Observation.method,,
Observation.part-of,,,
Observation.patient,Observation.patient,Observation.patient,Observation.patient
Observation.performer,Observation.performer,Observation.performer,Observation.performer
,Observation.related,Observation.related,Observation.related
,Observation.related-target,Observation.related-target,Observation.related-target
,Observation.related-type,Observation.related-type,Observation.related-type
Observation.specimen,Observation.specimen,Observation.specimen,Observation.specimen
Observation.status,Observation.status,Observation.status,Observation.status
Observation.subject,Observation.subject,Observation.subject,Observation.subject
Observation.value-concept,Observation.value-concept,Observation.value-concept,Observation.value-concept
Observation.value-date,Observation.value-date,Observation.value-date,Observation.value-date
Observation.value-quantity,Observation.value-quantity,Observation.value-quantity,Observation.value-quantity
Observation.value-string,Observation.value-string,Observation.value-string,Observation.value-string
OperationDefinition,OperationDefinition,OperationDefinition,OperationDefinition
OperationDefinition.base,OperationDefinition.base,OperationDefinition.base,OperationDefinition.base
OperationDefinition.code,OperationDefinition.code,OperationDefinition.code,OperationDefinition.code
OperationDefinition.context,,,
OperationDefinition.context-quantity,,,
OperationDefinition.context-type,,,
OperationDefinition.context-type-quantity,,,
OperationDefinition.context-type-value,,OperationDefinition.context,
OperationDefinition.date,OperationDefinition.date,OperationDefinition.date,OperationDefinition.date
OperationDefinition.description,OperationDefinition.description,,
OperationDefinition.input-profile,,,
OperationDefinition.instance,OperationDefinition.instance,OperationDefinition.instance,OperationDefinition.instance
OperationDefinition.jurisdiction,OperationDefinition.jurisdiction,,
OperationDefinition.kind,OperationDefinition.kind,OperationDefinition.kind,OperationDefinition.kind
OperationDefinition.name,OperationDefinition.name,OperationDefinition.name,OperationDefinition.name
OperationDefinition.output-profile,OperationDefinition.param-profile,OperationDefinition.paramprofile,OperationDefinition.profile
OperationDefinition.publisher,OperationDefinition.publisher,OperationDefinition.publisher,OperationDefinition.publisher
OperationDefinition.status,OperationDefinition.status,OperationDefinition.status,OperationDefinition.status
OperationDefinition.system,OperationDefinition.system,OperationDefinition.system,OperationDefinition.system
OperationDefinition.title,,,
OperationDefinition.type,OperationDefinition.type,OperationDefinition.type,OperationDefinition.type
OperationDefinition.url,OperationDefinition.url,OperationDefinition.url,OperationDefinition.url
OperationDefinition.version,OperationDefinition.version,OperationDefinition.version,OperationDefinition.version
,,Order,Order
,,Order.date,Order.date
,,Order.detail,Order.detail
,,Order.identifier,Order.identifier
,,Order.patient,Order.patient
,,Order.source,Order.source
,,Order.subject,Order.subject
,,Order.target,Order.target
,,Order.when,Order.when
,,Order.when_code,Order.when_code
,,OrderResponse,OrderResponse
,,OrderResponse.code,OrderResponse.code
,,OrderResponse.date,OrderResponse.date
,,OrderResponse.fulfillment,OrderResponse.fulfillment
,,OrderResponse.identifier,OrderResponse.identifier
,,OrderResponse.request,OrderResponse.request
,,OrderResponse.who,OrderResponse.who
,,OrderSet,
,,OrderSet.description,
,,OrderSet.identifier,
,,OrderSet.status,
,,OrderSet.title,
,,OrderSet.topic,
,,OrderSet.version,
Organization,Organization,Organization,Organization
Organization.active,Organization.active,Organization.active,Organization.active
Organization.address,Organization.address,Organization.address,Organization.address
Organization.address-city,Organization.address-city,Organization.address-city,Organization.address-city
Organization.address-country,Organization.address-country,Organization.address-country,Organization.address-country
Organization.address-postalcode,Organization.address-postalcode,Organization.address-postalcode,Organization.address-postalcode
Organization.address-state,Organization.address-state,Organization.address-state,Organization.address-state
Organization.address-use,Organization.address-use,Organization.address-use,Organization.address-use
Organization.endpoint,Organization.endpoint,,
Organization.identifier,Organization.identifier,Organization.identifier,Organization.identifier
Organization.name,Organization.name,Organization.name,Organization.name
Organization.partof,Organization.partof,Organization.partof,Organization.partof
Organization.phonetic,Organization.phonetic,Organization.phonetic,Organization.phonetic
Organization.type,Organization.type,Organization.type,Organization.type
OrganizationAffiliation,,,
OrganizationAffiliation.active,,,
OrganizationAffiliation.date,,,
OrganizationAffiliation.email,,,
OrganizationAffiliation.endpoint,,,
OrganizationAffiliation.identifier,,,
OrganizationAffiliation.location,,,
OrganizationAffiliation.network,,,
OrganizationAffiliation.participating-organization,,,
OrganizationAffiliation.phone,,,
OrganizationAffiliation.primary-organization,,,
OrganizationAffiliation.role,,,
OrganizationAffiliation.service,,,
OrganizationAffiliation.specialty,,,
OrganizationAffiliation.telecom,,,
Patient,Patient,Patient,Patient
Patient.active,Patient.active,Patient.active,Patient.active
Patient.address,Patient.address,Patient.address,Patient.address
Patient.address-city,Patient.address-city,Patient.address-city,Patient.address-city
Patient.address-country,Patient.address-country,Patient.address-country,Patient.address-country
Patient.address-postalcode,Patient.address-postalcode,Patient.address-postalcode,Patient.address-postalcode
Patient.address-state,Patient.address-state,Patient.address-state,Patient.address-state
Patient.address-use,Patient.address-use,Patient.address-use,Patient.address-use
,Patient.animal-breed,Patient.animal-breed,Patient.animal-breed
,Patient.animal-species,Patient.animal-species,Patient.animal-species
Patient.birthdate,Patient.birthdate,Patient.birthdate,Patient.birthdate
Patient.general-practitioner,Patient.general-practitioner,Patient.careprovider,Patient.careprovider
Patient.death-date,Patient.death-date,Patient.death-date,Patient.deathdate
Patient.deceased,Patient.deceased,Patient.deceased,Patient.deceased
Patient.email,Patient.email,Patient.email,Patient.email
,,Patient.ethnicity,Patient.ethnicity
Patient.family,Patient.family,Patient.family,Patient.family
Patient.gender,Patient.gender,Patient.gender,Patient.gender
Patient.given,Patient.given,Patient.given,Patient.given
Patient.identifier,Patient.identifier,Patient.identifier,Patient.identifier
Patient.language,Patient.language,Patient.language,Patient.language
Patient.link,Patient.link,Patient.link,Patient.link
Patient.name,Patient.name,Patient.name,Patient.name
Patient.organization,Patient.organization,Patient.organization,Patient.organization
Patient.phone,Patient.phone,Patient.phone,Patient.phone
Patient.phonetic,Patient.phonetic,Patient.phonetic,Patient.phonetic
,,Patient.race,Patient.race
Patient.telecom,Patient.telecom,Patient.telecom,Patient.telecom
PaymentNotice,PaymentNotice,PaymentNotice,PaymentNotice
PaymentNotice.created,PaymentNotice.created,PaymentNotice.created,
PaymentNotice.identifier,PaymentNotice.identifier,PaymentNotice.identifier,PaymentNotice.identifier
,PaymentNotice.organization,PaymentNotice.organizationidentifier,
,,PaymentNotice.organizationreference,
PaymentNotice.payment-status,PaymentNotice.payment-status,PaymentNotice.paymentstatus,
PaymentNotice.provider,PaymentNotice.provider,PaymentNotice.provideridentifier,
,,PaymentNotice.providerreference,
PaymentNotice.request,PaymentNotice.request,PaymentNotice.requestidentifier,
,,PaymentNotice.requestreference,
PaymentNotice.response,PaymentNotice.response,PaymentNotice.responseidentifier,
,,PaymentNotice.responsereference,
PaymentNotice.status,,,
,PaymentNotice.statusdate,PaymentNotice.statusdate,
PaymentReconciliation,PaymentReconciliation,PaymentReconciliation,PaymentReconciliation
PaymentReconciliation.created,PaymentReconciliation.created,PaymentReconciliation.created,
PaymentReconciliation.disposition,PaymentReconciliation.disposition,PaymentReconciliation.disposition,
PaymentReconciliation.identifier,PaymentReconciliation.identifier,PaymentReconciliation.identifier,PaymentReconciliation.identifier
,PaymentReconciliation.organization,PaymentReconciliation.organizationidentifier,
,,PaymentReconciliation.organizationreference,
